turn, assassin, algorithm, data, seed
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1335807137
6, False, 1, AI_dataset\cosine_sim_mat.npz, 927573567
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1206355437
5, False, 1, AI_dataset\cosine_sim_mat.npz, 527913729
4, False, 1, AI_dataset\cosine_sim_mat.npz, 156845561
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2018682315
4, False, 1, AI_dataset\cosine_sim_mat.npz, 284069864
4, False, 1, AI_dataset\cosine_sim_mat.npz, 82352826
2, False, 1, AI_dataset\cosine_sim_mat.npz, 1503603751
6, False, 1, AI_dataset\cosine_sim_mat.npz, 576010381
4, False, 1, AI_dataset\cosine_sim_mat.npz, 662873198
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1548364440
6, False, 1, AI_dataset\cosine_sim_mat.npz, 952875566
4, False, 1, AI_dataset\cosine_sim_mat.npz, 12609034
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1428325498
4, False, 1, AI_dataset\cosine_sim_mat.npz, 939597277
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1232297060
7, False, 1, AI_dataset\cosine_sim_mat.npz, 497532589
7, False, 1, AI_dataset\cosine_sim_mat.npz, 265339004
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1691500766
4, False, 1, AI_dataset\cosine_sim_mat.npz, 971959403
3, False, 1, AI_dataset\cosine_sim_mat.npz, 508943881
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1877381813
4, False, 1, AI_dataset\cosine_sim_mat.npz, 340190899
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1391970365
4, False, 1, AI_dataset\cosine_sim_mat.npz, 765837590
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1462465741
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1166543836
4, False, 1, AI_dataset\cosine_sim_mat.npz, 972227709
6, False, 1, AI_dataset\cosine_sim_mat.npz, 135445518
3, False, 1, AI_dataset\cosine_sim_mat.npz, 219591231
6, False, 1, AI_dataset\cosine_sim_mat.npz, 862655386
6, False, 1, AI_dataset\cosine_sim_mat.npz, 441885995
6, False, 1, AI_dataset\cosine_sim_mat.npz, 841157107
4, False, 1, AI_dataset\cosine_sim_mat.npz, 625767457
6, False, 1, AI_dataset\cosine_sim_mat.npz, 208321982
5, False, 1, AI_dataset\cosine_sim_mat.npz, 118432383
7, False, 1, AI_dataset\cosine_sim_mat.npz, 136363860
3, False, 1, AI_dataset\cosine_sim_mat.npz, 637590266
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1492101
4, False, 1, AI_dataset\cosine_sim_mat.npz, 369766237
6, False, 1, AI_dataset\cosine_sim_mat.npz, 805115125
5, False, 1, AI_dataset\cosine_sim_mat.npz, 848351209
6, False, 1, AI_dataset\cosine_sim_mat.npz, 8950865
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1479618486
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1196232010
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1346684992
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1408475657
6, False, 1, AI_dataset\cosine_sim_mat.npz, 2069935647
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1461212992
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1705227341
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1535850910
4, False, 1, AI_dataset\cosine_sim_mat.npz, 640920210
7, False, 1, AI_dataset\cosine_sim_mat.npz, 2816741
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1132018350
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2073153294
6, False, 1, AI_dataset\cosine_sim_mat.npz, 272165498
6, False, 1, AI_dataset\cosine_sim_mat.npz, 514304338
6, True, 1, AI_dataset\cosine_sim_mat.npz, 1034532408
3, False, 1, AI_dataset\cosine_sim_mat.npz, 972388697
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1204165679
6, False, 1, AI_dataset\cosine_sim_mat.npz, 580545089
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1723285842
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1635476785
4, False, 1, AI_dataset\cosine_sim_mat.npz, 496524771
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1703590921
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1418768206
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1515176449
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1141069874
3, False, 1, AI_dataset\cosine_sim_mat.npz, 2109976126
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1684773707
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1757200421
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1941556842
6, False, 1, AI_dataset\cosine_sim_mat.npz, 145388732
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1425219783
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1353460985
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1255751733
7, False, 1, AI_dataset\cosine_sim_mat.npz, 158255993
6, False, 1, AI_dataset\cosine_sim_mat.npz, 171172454
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1734888797
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1877742982
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1866614742
6, False, 1, AI_dataset\cosine_sim_mat.npz, 934501426
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1510411710
5, False, 1, AI_dataset\cosine_sim_mat.npz, 824048031
5, False, 1, AI_dataset\cosine_sim_mat.npz, 547741826
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1752179613
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1916264667
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1825109810
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1713666091
4, False, 1, AI_dataset\cosine_sim_mat.npz, 51024196
6, False, 1, AI_dataset\cosine_sim_mat.npz, 184816848
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1844545694
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1173831129
3, False, 1, AI_dataset\cosine_sim_mat.npz, 265253285
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1098993063
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1148990633
4, False, 1, AI_dataset\cosine_sim_mat.npz, 338395644
7, False, 1, AI_dataset\cosine_sim_mat.npz, 767709121
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1621953429
5, False, 1, AI_dataset\cosine_sim_mat.npz, 999011158
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1614516662
2, False, 1, AI_dataset\cosine_sim_mat.npz, 293619689
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1933967667
6, False, 1, AI_dataset\cosine_sim_mat.npz, 704565170
4, False, 1, AI_dataset\cosine_sim_mat.npz, 595198059
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2047779251
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1786374822
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1434156261
6, False, 1, AI_dataset\cosine_sim_mat.npz, 516247099
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1279733448
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1769149032
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1037863138
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1721349401
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1267839519
3, False, 1, AI_dataset\cosine_sim_mat.npz, 773536068
6, False, 1, AI_dataset\cosine_sim_mat.npz, 337844998
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1176848085
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1655245782
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1424707804
3, False, 1, AI_dataset\cosine_sim_mat.npz, 437442335
6, False, 1, AI_dataset\cosine_sim_mat.npz, 683053953
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1956694866
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1714380971
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1934660607
6, False, 1, AI_dataset\cosine_sim_mat.npz, 853606423
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1518522636
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1532354399
7, False, 1, AI_dataset\cosine_sim_mat.npz, 200886501
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2095351138
5, False, 1, AI_dataset\cosine_sim_mat.npz, 884624786
6, False, 1, AI_dataset\cosine_sim_mat.npz, 686404965
4, False, 1, AI_dataset\cosine_sim_mat.npz, 599446402
3, False, 1, AI_dataset\cosine_sim_mat.npz, 479809584
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1273313578
4, False, 1, AI_dataset\cosine_sim_mat.npz, 976595215
5, False, 1, AI_dataset\cosine_sim_mat.npz, 744814226
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2054105700
2, False, 1, AI_dataset\cosine_sim_mat.npz, 1990179727
7, False, 1, AI_dataset\cosine_sim_mat.npz, 368202043
3, False, 1, AI_dataset\cosine_sim_mat.npz, 698478564
7, True, 1, AI_dataset\cosine_sim_mat.npz, 1709599116
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1611239789
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1705274521
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1865007274
6, False, 1, AI_dataset\cosine_sim_mat.npz, 440492130
4, False, 1, AI_dataset\cosine_sim_mat.npz, 931448092
4, False, 1, AI_dataset\cosine_sim_mat.npz, 906339410
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1708786041
6, False, 1, AI_dataset\cosine_sim_mat.npz, 676632814
4, False, 1, AI_dataset\cosine_sim_mat.npz, 87276505
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1287130059
6, False, 1, AI_dataset\cosine_sim_mat.npz, 332198286
7, False, 1, AI_dataset\cosine_sim_mat.npz, 455952300
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1883661116
3, False, 1, AI_dataset\cosine_sim_mat.npz, 2122416287
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2083218770
4, False, 1, AI_dataset\cosine_sim_mat.npz, 532988963
4, False, 1, AI_dataset\cosine_sim_mat.npz, 448966742
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1017608059
5, False, 1, AI_dataset\cosine_sim_mat.npz, 364206327
6, False, 1, AI_dataset\cosine_sim_mat.npz, 823575158
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1793475496
4, False, 1, AI_dataset\cosine_sim_mat.npz, 458655465
6, False, 1, AI_dataset\cosine_sim_mat.npz, 403362707
5, True, 1, AI_dataset\cosine_sim_mat.npz, 763233998
4, False, 1, AI_dataset\cosine_sim_mat.npz, 630502774
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1002092496
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1432674063
8, False, 1, AI_dataset\cosine_sim_mat.npz, 536584959
6, False, 1, AI_dataset\cosine_sim_mat.npz, 113071484
5, False, 1, AI_dataset\cosine_sim_mat.npz, 639349866
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1137416362
7, False, 1, AI_dataset\cosine_sim_mat.npz, 254855284
4, False, 1, AI_dataset\cosine_sim_mat.npz, 337281534
4, False, 1, AI_dataset\cosine_sim_mat.npz, 796547245
6, False, 1, AI_dataset\cosine_sim_mat.npz, 493912333
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1690261358
5, False, 1, AI_dataset\cosine_sim_mat.npz, 2083981830
6, False, 1, AI_dataset\cosine_sim_mat.npz, 6357527
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1099282049
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1677294348
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2100770471
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1616624680
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1538028518
5, False, 1, AI_dataset\cosine_sim_mat.npz, 2134188088
9, False, 1, AI_dataset\cosine_sim_mat.npz, 1696251944
6, False, 1, AI_dataset\cosine_sim_mat.npz, 455337404
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1866489504
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1541602398
7, False, 1, AI_dataset\cosine_sim_mat.npz, 74790506
7, False, 1, AI_dataset\cosine_sim_mat.npz, 108985696
5, False, 1, AI_dataset\cosine_sim_mat.npz, 22806697
7, False, 1, AI_dataset\cosine_sim_mat.npz, 635731936
6, False, 1, AI_dataset\cosine_sim_mat.npz, 380733588
4, False, 1, AI_dataset\cosine_sim_mat.npz, 543492068
6, False, 1, AI_dataset\cosine_sim_mat.npz, 292650046
3, False, 1, AI_dataset\cosine_sim_mat.npz, 602578912
6, False, 1, AI_dataset\cosine_sim_mat.npz, 2099750809
4, False, 1, AI_dataset\cosine_sim_mat.npz, 378107738
3, False, 1, AI_dataset\cosine_sim_mat.npz, 759120137
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1083396792
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1969078141
4, False, 1, AI_dataset\cosine_sim_mat.npz, 324193626
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1618466265
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1019987559
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1337411724
3, False, 1, AI_dataset\cosine_sim_mat.npz, 386018165
5, False, 1, AI_dataset\cosine_sim_mat.npz, 173106540
6, False, 1, AI_dataset\cosine_sim_mat.npz, 388548985
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1464261785
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1035216454
7, False, 1, AI_dataset\cosine_sim_mat.npz, 974200336
6, False, 1, AI_dataset\cosine_sim_mat.npz, 529450983
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1565515385
2, False, 1, AI_dataset\cosine_sim_mat.npz, 1782039061
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1410169280
3, False, 1, AI_dataset\cosine_sim_mat.npz, 833774985
6, False, 1, AI_dataset\cosine_sim_mat.npz, 592495410
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1176310965
5, False, 1, AI_dataset\cosine_sim_mat.npz, 880351464
6, False, 1, AI_dataset\cosine_sim_mat.npz, 13829359
3, True, 1, AI_dataset\cosine_sim_mat.npz, 1004022083
7, False, 1, AI_dataset\cosine_sim_mat.npz, 455284506
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1751428285
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1006446826
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1103781702
5, False, 1, AI_dataset\cosine_sim_mat.npz, 806576431
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1287285293
6, True, 1, AI_dataset\cosine_sim_mat.npz, 1087686358
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1006883161
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1825948365
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1679966882
6, False, 1, AI_dataset\cosine_sim_mat.npz, 2065592372
4, False, 1, AI_dataset\cosine_sim_mat.npz, 374866720
2, False, 1, AI_dataset\cosine_sim_mat.npz, 751520997
6, False, 1, AI_dataset\cosine_sim_mat.npz, 615028379
4, False, 1, AI_dataset\cosine_sim_mat.npz, 991903968
8, False, 1, AI_dataset\cosine_sim_mat.npz, 2052013242
5, False, 1, AI_dataset\cosine_sim_mat.npz, 694767287
4, False, 1, AI_dataset\cosine_sim_mat.npz, 215278142
3, True, 1, AI_dataset\cosine_sim_mat.npz, 693369938
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1828340612
6, False, 1, AI_dataset\cosine_sim_mat.npz, 104097243
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1797521111
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1025182092
4, False, 1, AI_dataset\cosine_sim_mat.npz, 376373332
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1845157411
6, False, 1, AI_dataset\cosine_sim_mat.npz, 848422036
5, False, 1, AI_dataset\cosine_sim_mat.npz, 579044373
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1033410582
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1670350322
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1394349919
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2136277555
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1294371122
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1636493709
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1297718233
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1535615913
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1816558724
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1903472105
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1045060659
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1878126014
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1789197278
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1387879869
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 684123719
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2071527080
3, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 791206870
9, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 168148855
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2098176411
2, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1552589868
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1791959010
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1640505439
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 59213283
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1316328535
3, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 528326654
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1847041927
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1074861101
2, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1014755017
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 491726963
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1124371902
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1454052902
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1325849314
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 857913520
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 586881948
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1147692259
4, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 326250681
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1700809719
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1514902956
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1605514246
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 405277696
5, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1646547686
4, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 229125495
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1636091947
4, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2407312
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1210288894
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1382904242
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2027607240
1, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 242373123
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 609133362
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2119193190
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1335807137
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 927573567
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1206355437
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 527913729
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 156845561
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2018682315
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 284069864
1, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 82352826
5, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1503603751
3, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 576010381
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 662873198
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1548364440
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 952875566
2, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 12609034
4, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1428325498
3, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 939597277
10, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1232297060
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 497532589
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 265339004
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1691500766
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 971959403
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 508943881
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1877381813
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 340190899
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1391970365
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 765837590
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1462465741
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1166543836
1, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 972227709
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 135445518
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 219591231
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 862655386
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 441885995
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 841157107
5, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 625767457
1, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 208321982
9, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 118432383
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 136363860
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 637590266
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1492101
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 369766237
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 805115125
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 848351209
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 8950865
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1479618486
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1196232010
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1346684992
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1408475657
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2069935647
5, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1461212992
9, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1705227341
5, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1535850910
8, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 640920210
4, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2816741
10, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1132018350
9, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2073153294
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 272165498
3, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 514304338
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1034532408
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 972388697
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1204165679
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 580545089
6, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1723285842
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1635476785
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 496524771
7, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1703590921
7, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1418768206
8, False, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1515176449
4, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 1141069874
6, True, 1, AI_dataset\cosine_sim_mat_wiki_10k.npz, 2109976126
